https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1575849600000,2019-12-09 00:00:00,LTC/USDC,45.66264502,45.87346424,44.10050187,44.38376612,110977.87107453,2454.45112244,0,0,0,45.21494441
1575763200000,2019-12-08 00:00:00,LTC/USDC,45.16046643,46.26699361,44.90186583,45.59793554,20948.12516147,462.49047831,0,0,0,45.29417608
1575676800000,2019-12-07 00:00:00,LTC/USDC,45.4999997,46.52363877,45.01698618,45.24489524,43079.79384872,937.66986958,0,0,0,45.94345541
1575590400000,2019-12-06 00:00:00,LTC/USDC,44.59331767,45.55230882,44.178082,45.22407784,52825.7936799,1176.81856602,0,0,0,44.88864741
1575504000000,2019-12-05 00:00:00,LTC/USDC,44.52167704,45.17026274,43.75398369,44.99996734,186408.92295551,4181.7063378,0,0,0,44.57723902
1575417600000,2019-12-04 00:00:00,LTC/USDC,44.75370037,46.85601006,43.75579511,44.68754121,189056.72362796,4199.22606852,0,0,0,45.02180176
1575331200000,2019-12-03 00:00:00,LTC/USDC,45.75430001,46.25781409,44.44768207,44.85122052,128122.15736736,2822.35839543,0,0,0,45.39542447
1575244800000,2019-12-02 00:00:00,LTC/USDC,47.566364,47.566364,44.85806467,45.71048098,94464.04600446,2055.67496813,0,0,0,45.95281232
1575158400000,2019-12-01 00:00:00,LTC/USDC,47.13337434,48.26150299,45.60138297,47.80840374,55342.22236682,1194.8027516,0,0,0,46.31912865
1575072000000,2019-11-30 00:00:00,LTC/USDC,48.49868009,48.80474862,46.83619053,47.43923191,51784.76392554,1074.78053669,0,0,0,48.1817098
1574985600000,2019-11-29 00:00:00,LTC/USDC,47.00107676,49.30652805,47.00107676,48.59973666,69608.18396867,1435.28659687,0,0,0,48.49775934
1574899200000,2019-11-28 00:00:00,LTC/USDC,47.864583,48.025952,46.46441611,46.66078711,150452.83188499,3160.10203391,0,0,0,47.61011836
1574812800000,2019-11-27 00:00:00,LTC/USDC,46.85517993,48.74899292,44.78056723,47.77898791,149768.46087614,3173.70770367,0,0,0,47.19037632
1574726400000,2019-11-26 00:00:00,LTC/USDC,45.64710341,47.482729,45.40422951,47.06977554,72237.93899431,1550.81800979,0,0,0,46.58053913
1574640000000,2019-11-25 00:00:00,LTC/USDC,43.05243975,47.31519901,42.17099587,45.62029347,144719.45333604,3284.75838438,0,0,0,44.05786861
1574553600000,2019-11-24 00:00:00,LTC/USDC,47.79495003,47.87950721,43.76328434,43.76328434,83556.1514258,1788.91016733,0,0,0,46.70785204
